esound,middle,http://ftp.gnome.org/pub/gnome/sources/esound/0.2/esound-0.2.41.tar.bz2,
fakeroot,middle,http://http.debian.net/debian/pool/main/f/fakeroot/fakeroot_1.22.orig.tar.bz2,
festival,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/festival-1.96-28.el7.src.rpm,
ffmpeg,major,https://github.com/FFmpeg/FFmpeg/archive/n3.3.5.zip,
fftw3,minor,http://www.fftw.org/fftw-3.3.6-pl2.tar.gz,
findutils,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/findutils-4.5.11-5.el7.src.rpm,
finger,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/finger-0.17-52.el7.src.rpm,
fipscheck,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/fipscheck-1.4.1-6.el7.src.rpm,
firstboot,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/firstboot-19.12-1.el7.src.rpm,
flac,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/flac-1.3.0-5.el7_1.src.rpm,
fontconfig,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/fontconfig-2.10.95-11.el7.src.rpm,
foomatic,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/foomatic-4.0.9-8.el7.src.rpm,
freertos,minor,http://www.freertos.org/a00104.html,browser
fuse,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/fuse-2.9.2-8.el7.src.rpm,
gail,minor,https://storage.googleapis.com/google-code-archive-downloads/v2/code.google.com/gail/GAIL_1.0.0.zip,
gamin,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/gamin-0.1.10-16.el7.src.rpm,
gawk,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/gawk-4.0.2-4.el7_3.1.src.rpm,
gcalctool,minor,http://bazaar.launchpad.net/~registry/gcalctool/trunk/revision/3395,browser
gcc,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/compat-gcc-32-3.2.3-72.el7.src.rpm,
gconf,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/GConf2-3.2.6-8.el7.src.rpm,
gd,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/cgdcbxd-1.0.2-7.el7.src.rpm,
gdisk,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/gdisk-0.8.6-5.el7.src.rpm,
gdm,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/gdm-3.22.3-11.el7.src.rpm,
giflib,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/giflib-4.1.6-9.el7.src.rpm,
glib,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/cglib-2.2-18.el7.src.rpm,
glibc,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/compat-glibc-2.12-4.el7.centos.src.rpm,
gnupg2,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/gnupg2-2.0.22-4.el7.src.rpm,
gok,minor,https://sourceforge.net/projects/gok/,browser
gpgme,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/gpgme-1.3.2-5.el7.src.rpm,
gphoto2,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libgphoto2-2.5.2-5.el7.src.rpm,
graphite2,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/graphite2-1.3.6-1.el7_2.src.rpm,
grep,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/grep-2.20-3.el7.src.rpm,
grub2,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/grub2-2.02-0.64.el7.centos.src.rpm,
grubby,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/grubby-8.28-23.el7.src.rpm,
gstreamer,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/gstreamer-0.10.36-7.el7.src.rpm,
gstreamer-plugins-base,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/gstreamer-plugins-base-0.10.36-10.el7.src.rpm,
gthumb,minor,https://github.com/GNOME/gthumb/archive/3.5.3.zip,
gtk2,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/gtk2-2.24.31-1.el7.src.rpm,
gtkhtml3,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/gtkhtml3-4.8.5-2.el7.src.rpm,
gucharmap,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/gucharmap-3.18.2-1.el7.src.rpm,
gzip,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/gzip-1.5-9.el7.src.rpm,
hal,middle,https://hal.freedesktop.org/releases/hal-0.5.14.tar.gz,
hmaccalc,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/hmaccalc-0.9.13-4.el7.src.rpm,
hostname,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/hostname-3.13-3.el7.src.rpm,
imagemagick,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/ImageMagick-6.7.8.9-15.el7_2.src.rpm,
imlib,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/kdepimlibs-4.10.5-4.el7.src.rpm,
inetutils,major,https://ftp.gnu.org/gnu/inetutils/inetutils-1.9.4.tar.gz,
intl,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/intltool-0.50.2-7.el7.src.rpm,
iproute2,major,https://git.kernel.org/pub/scm/linux/kernel/git/shemminger/iproute2.git/snapshot/iproute2-4.13.0.tar.gz,
iptables,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/iptables-1.4.21-18.0.1.el7.centos.src.rpm,
iptstate,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/iptstate-2.2.5-4.el7.src.rpm,
isomd5sum,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/isomd5sum-1.0.10-5.el7.src.rpm,
ivykis,minor,https://sourceforge.net/projects/libivykis/files/,browser
jbigkit,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/jbigkit-2.0-11.el7.src.rpm,
kernel,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/kernel-3.10.0-693.el7.src.rpm,
kmod,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/kmod-20-15.el7.src.rpm,
krb5,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/krb5-1.15.1-8.el7.src.rpm,
ksh,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/ksh-20120801-34.el7.src.rpm,
lame,minor,https://sourceforge.net/projects/lame/files/lame/,browser
lcms,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/lcms2-2.6-3.el7.src.rpm,
lib,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/LibRaw-0.14.8-5.el7.20120830git98d925.src.rpm,
libaio,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libaio-0.3.109-13.el7.src.rpm,
libao,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libao-1.1.0-8.el7.src.rpm,
libasyncns,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libasyncns-0.8-7.el7.src.rpm,
libav,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libavc1394-0.5.3-14.el7.src.rpm,
libcap,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/compat-libcap1-1.10-7.el7.src.rpm,
libdb,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libdb-5.3.21-20.el7.src.rpm,
libdv,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libdv-1.0.0-17.el7.src.rpm,
libelf,middle,http://www.mr511.de/software/libelf-0.8.13.tar.gz,
libept,minor,https://launchpad.net/ubuntu/+archive/primary/+files/libept_1.1+nmu3build1.tar.xz,
libestr,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libestr-0.1.9-2.el7.src.rpm,
libfontenc,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libfontenc-1.1.3-3.el7.src.rpm,
libglade2,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libglade2-2.6.4-11.el7.src.rpm,
libgphoto2,minor,http://vault.centos.org/7.4.1708/os/Source/SPackages/libgphoto2-2.5.2-5.el7.src.rpm,
libgsf,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libgsf-1.14.26-7.el7.src.rpm,
libice,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libICE-1.0.9-9.el7.src.rpm,
libiconv,major,https://ftp.gnu.org/gnu/libiconv/libiconv-1.15.tar.gz,
libjs,major,http://www1.udel.edu/CIS/software/dist/js-1.5.tar.gz,
libldb,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libldb-1.1.29-1.el7.src.rpm,
libmicrohttpd,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/libmicrohttpd-0.9.33-2.el7.src.rpm,
libmnl,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libmnl-1.0.3-7.el7.src.rpm,
libmtp,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/libmtp-1.1.6-5.el7.src.rpm,
libnl,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/libnl-1.1.4-3.el7.src.rpm,
libogg,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libogg-1.3.0-7.el7.src.rpm,
liboil,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/liboil-0.3.16-10.el7.src.rpm,
libsigc++,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libsigc++20-2.10.0-1.el7.src.rpm,
